,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.050286293029785156,0.0038759708404541016,0.001773238182067871,0.00017845630645751953,1,50,"{'learning_rate': 1, 'n_estimators': 50}",0.9303944315545244,0.9205759405480725,0.9254874651810585,0.004909244974180034,17
1,0.0519944429397583,0.026986241340637207,0.001386880874633789,0.00013017654418945312,1,100,"{'learning_rate': 1, 'n_estimators': 100}",0.9378190255220418,0.9173246632605666,0.9275766016713092,0.010247180026447828,12
2,0.0262528657913208,0.0012871026992797852,0.001294255256652832,6.318092346191406e-06,1,150,"{'learning_rate': 1, 'n_estimators': 150}",0.9336426914153132,0.9191825359962843,0.9264159702878366,0.007230076930363516,14
3,0.026195883750915527,0.0011774301528930664,0.0012878179550170898,3.4689903259277344e-05,1,200,"{'learning_rate': 1, 'n_estimators': 200}",0.934106728538283,0.9168601950766373,0.9254874651810585,0.008623265801534608,17
4,0.02621591091156006,0.0013374090194702148,0.0012961626052856445,3.4570693969726562e-06,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9387470997679814,0.9210404087320019,0.9298978644382544,0.008853344563907024,1
5,0.026227831840515137,0.0012058019638061523,0.0012880563735961914,1.633167266845703e-05,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.9336426914153132,0.9173246632605666,0.9254874651810585,0.008159013198115326,17
6,0.026915788650512695,0.0006120204925537109,0.0013195276260375977,5.960464477539062e-07,0.5,150,"{'learning_rate': 0.5, 'n_estimators': 150}",0.9378190255220418,0.920111472364143,0.9289693593314763,0.008853775624820166,7
7,0.0314791202545166,0.0011775493621826172,0.001630544662475586,7.939338684082031e-05,0.5,200,"{'learning_rate': 0.5, 'n_estimators': 200}",0.9317865429234339,0.924756154203437,0.9282729805013927,0.003515193981182717,9
8,0.03791701793670654,0.0014504194259643555,0.0018572807312011719,0.00012612342834472656,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.934106728538283,0.924756154203437,0.9294336118848654,0.00467528666358963,2
9,0.03581821918487549,0.0005074739456176758,0.001774430274963379,6.568431854248047e-05,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9359628770301625,0.92243381328379,0.9292014856081708,0.0067645311442049265,4
10,0.03188014030456543,0.003755331039428711,0.0015033483505249023,0.00021350383758544922,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.9368909512761021,0.9215048769159313,0.9292014856081708,0.007693036351043541,4
11,0.033478379249572754,0.002651810646057129,0.0019114017486572266,0.00014352798461914062,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9280742459396751,0.920111472364143,0.9240947075208914,0.0039813863587110174,20
12,0.032928466796875,0.006287097930908203,0.0014736652374267578,0.00022101402282714844,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9387470997679814,0.920111472364143,0.9294336118848654,0.00931781269778293,2
13,0.03403031826019287,0.005121827125549316,0.0015149116516113281,0.0002627372741699219,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.934106728538283,0.917789131444496,0.9259517177344475,0.008158797667658757,16
14,0.03718090057373047,0.001621246337890625,0.0017151832580566406,9.5367431640625e-07,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.934106728538283,0.9210404087320019,0.9275766016713092,0.006533159199093143,12
15,0.037502288818359375,0.001893758773803711,0.0017970800399780273,6.556510925292969e-06,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9336426914153132,0.9219693450998606,0.9278087279480037,0.0058366725287359094,10
16,0.025374531745910645,0.001668095588684082,0.0013207197189331055,5.137920379638672e-05,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.9359628770301625,0.9196470041802136,0.9278087279480037,0.008157935545832587,10
17,0.02752363681793213,0.003761887550354004,0.001269221305847168,5.960464477539062e-07,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.9368909512761021,0.9215048769159313,0.9292014856081708,0.007693036351043541,4
18,0.03421604633331299,0.00021922588348388672,0.001659393310546875,6.270408630371094e-05,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.9345707656612529,0.9233627496516489,0.9289693593314763,0.005604007400884816,7
19,0.03341376781463623,0.005523800849914551,0.0014284849166870117,0.00030744075775146484,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.934106728538283,0.9182535996284255,0.9261838440111421,0.007926563600720804,15
